# Arabic page name	Nama English name
# Generated by tools/release-notes/gen-doc-names.py -- do not hand-edit.
Database Related Errors FAQ	Database Related Errors FAQ
Electronic Receipt (Egypt Tax eInvoice) تفعيل الإيصال الإلكتروني - الفاتورة الإلكترونية - مصر	Electronic Receipt (Egypt Tax eInvoice) - Activating the Electronic Receipt and eInvoice - Egypt
Replication	Replication
أجهزة البصمة (Attendance Machines)	Attendance Machines
أداة إنشاء نماذج الطباعة (Printing Form Wizard)	Printing Form Wizard
أداتا إنشاء التقارير ونماذج الطباعة	Report and Form Wizards
أدوات التصنيع (Manufacturing Utilities)	Manufacturing Utilities
أدوات العقارات (Real Estate Utilities)	Real Estate Utilities
أدوات المحاسبة - إعادة معالجة دفتر الأستاذ وأعمار الديون (Accounting Utilities - Ledger and Debt Ages Reprocessing)	Accounting Utilities - Ledger and Debt Ages Reprocessing
أدوات النسخ المتطابق (Replication Utilities)	Replication Utilities
أدوات وحدة الأصول الثابتة (Fixed Assets Module Utilities)	Fixed Assets Module Utilities
أذون الخزانة	Treasury Bills
أسئلة شائعة حول الفواتير والدفع	Frequently Asked Questions about Invoices and Payments
أسئلة شائعة حول تطبيقات الهواتف المحمولة في نظام Nama ERP	Frequently Asked Questions About Mobile Applications in Nama ERP
أسئلة شائعة حول فلترة الحقول	Frequently Asked Questions about Field Filtering
أسئلة شائعة حول موديول التصنيع في نظام Nama ERP	Frequently Asked Questions — Manufacturing Module in Nama ERP
أسئلة شائعة حول نقاط البيع	Point of Sale FAQ
أسئلة شائعة عن الاستثمار العقاري	Real Estate Investment FAQ
أسئلة شائعة عن التنبيهات والرسائل	Frequently Asked Questions: Notifications and Messages
أسئلة شائعة عن الموافقات	Approvals FAQ
أسئلة شائعة عن مسارات الكيان	Entity Flow FAQ
أسئلة شائعة في موديول الرواتب والموارد البشرية	Frequently Asked Questions — Payroll and Human Resources Module
أسئلة عامة	General FAQ
أسئلة في موديول التوزيع والمخازن والمبيعات والمشتريات	FAQ — Distribution, Warehousing, Sales & Purchasing Module
أسئلة متكررة عن المقاولات	Contracting FAQ
أساسيات توجيه المستندات	Document Terms Basics
أعدادات الحقول و الشاشات — كيف تعمل	Fields and Entities Settings — How It Works
أمثلة لمسارات كيان	Entity Flow Examples
أمر الشغل	The Job Order
أنواع الآلات وتصنيفاتها	Machine Types and Categories
أنواع الأصول الثابتة	Fixed Asset Types
أنواع الرسوم والعمولات والوسطاء والمصروفات	Fee, Commission, Broker and Expense Catalogues
أنواع السلف	Loan Types
أنواع الصيانة	Maintenance Types
أنواع العهد	Custody Types
أنواع وأرصدة الأجازات	Vacation Types & Balances
أنواع وتصنيفات وتخصصات المشاريع	Project Types, Classes and Disciplines
أوامر الإنتاج (Production Orders): التخطيط لما سيتم تصنيعه	Production Orders: Planning What to Make
أوامر التشغيل (Operation Orders)	Operation Orders
أوامر الخدمة وسندات تنفيذها	Service Orders and Executions
أوامر الصيانة	Maintenance Orders
أوامر بيع السيارات واعتمادها	Car Sales Orders and Approvals
أوامر شراء السيارات	Ordering Cars
أي نموذج طباعة سيخرج	Which Printed Form Comes Out
إثبات استحقاق الصيانة السنوية	Accruing the Annual Maintenance Charge
إجراءات النظام (System Actions)	System Actions
إخراج المستندات وإعادتها	Checking Documents In and Out
إدارة معارض السيارات في Nama	The Car Dealership in Nama
إرتجاع قطع الغيار	Returning Spare Parts
إرسال الفواتير والمستندات للعملاء	Sending Invoices and Documents to Customers
إشعارات الدائن والمدين	Credit & Debit Notes
إشعارات طلبات أمازون	Amazon Order Notifications
إصدار المخزون من المستودع (Issuing Stock)	Issuing Stock
إضافات الأصناف	Item Add-ons
